 1: max profit = 1458 | solution: 101010111000011
 2: max profit = 1458 | solution: 101010111000011
 3: max profit = 1458 | solution: 101010111000011
 4: max profit = 1458 | solution: 101010111000011
 5: max profit = 1458 | solution: 101010111000011
 6: max profit = 1458 | solution: 101010111000011
 7: max profit = 1458 | solution: 101010111000011
 8: max profit = 1458 | solution: 101010111000011
 9: max profit = 1458 | solution: 101010111000011
10: max profit = 1458 | solution: 101010111000011
11: max profit = 1458 | solution: 101010111000011
12: max profit = 1458 | solution: 101010111000011
13: max profit = 1458 | solution: 101010111000011
14: max profit = 1458 | solution: 101010111000011
15: max profit = 1458 | solution: 101010111000011
16: max profit = 1458 | solution: 101010111000011
17: max profit = 1458 | solution: 101010111000011
18: max profit = 1458 | solution: 101010111000011
19: max profit = 1458 | solution: 101010111000011
20: max profit = 1458 | solution: 101010111000011
21: max profit = 1458 | solution: 101010111000011
22: max profit = 1458 | solution: 101010111000011
23: max profit = 1458 | solution: 101010111000011
24: max profit = 1458 | solution: 101010111000011
25: max profit = 1458 | solution: 101010111000011
26: max profit = 1458 | solution: 101010111000011
27: max profit = 1458 | solution: 101010111000011
28: max profit = 1458 | solution: 101010111000011
29: max profit = 1458 | solution: 101010111000011
30: max profit = 1458 | solution: 101010111000011
Average max profit of 30runs: 1458.00
